"","X","Event","Year","Game.Number","White.Player","White.ACPL","White.Num.Moves","Black.Player","Black.ACPL","Black.Num.Moves","Combined.ACPL","Black.Player_ID","White.Player_ID","PreDeepBlue"
"1",584,"lichess_study_1886-world-championship-steinitz-zukertor_by_Lichess_2021.11.29.pgn",1886,1,"Zukertort, Johannes Hermann",47.68888889,45,"Steinitz, William",27.93478261,46,75.6236715,"34","39",TRUE
"2",585,"lichess_study_1886-world-championship-steinitz-zukertor_by_Lichess_2021.11.29.pgn",1886,2,"Steinitz, William",48.11111111,45,"Zukertort, Johannes Hermann",28.41304348,46,76.52415459,"39","34",TRUE
"3",586,"lichess_study_1886-world-championship-steinitz-zukertor_by_Lichess_2021.11.29.pgn",1886,3,"Zukertort, Johannes Hermann",28.56521739,46,"Steinitz, William",49.45652174,46,78.02173913,"34","39",TRUE
"4",587,"lichess_study_1886-world-championship-steinitz-zukertor_by_Lichess_2021.11.29.pgn",1886,4,"Steinitz, William",29.84210526,38,"Zukertort, Johannes Hermann",9.564102564,39,39.40620783,"39","34",TRUE
"5",588,"lichess_study_1886-world-championship-steinitz-zukertor_by_Lichess_2021.11.29.pgn",1886,5,"Zukertort, Johannes Hermann",16.4516129,31,"Steinitz, William",39.48387097,31,55.93548387,"34","39",TRUE
"6",589,"lichess_study_1886-world-championship-steinitz-zukertor_by_Lichess_2021.11.29.pgn",1886,6,"Steinitz, William",46.13333333,60,"Zukertort, Johannes Hermann",62.78333333,60,108.9166667,"39","34",TRUE
"7",590,"lichess_study_1886-world-championship-steinitz-zukertor_by_Lichess_2021.11.29.pgn",1886,7,"Zukertort, Johannes Hermann",50.82352941,34,"Steinitz, William",21.14285714,35,71.96638655,"34","39",TRUE
"8",591,"lichess_study_1886-world-championship-steinitz-zukertor_by_Lichess_2021.11.29.pgn",1886,8,"Steinitz, William",25.23809524,21,"Zukertort, Johannes Hermann",22.52380952,21,47.76190476,"39","34",TRUE
"9",592,"lichess_study_1886-world-championship-steinitz-zukertor_by_Lichess_2021.11.29.pgn",1886,9,"Zukertort, Johannes Hermann",48.51351351,37,"Steinitz, William",21.84210526,38,70.35561878,"34","39",TRUE
"10",593,"lichess_study_1886-world-championship-steinitz-zukertor_by_Lichess_2021.11.29.pgn",1886,10,"Steinitz, William",10.25,20,"Zukertort, Johannes Hermann",8.047619048,21,18.29761905,"39","34",TRUE
"11",594,"lichess_study_1886-world-championship-steinitz-zukertor_by_Lichess_2021.11.29.pgn",1886,11,"Zukertort, Johannes Hermann",81.30769231,39,"Steinitz, William",72.28205128,39,153.5897436,"34","39",TRUE
"12",595,"lichess_study_1886-world-championship-steinitz-zukertor_by_Lichess_2021.11.29.pgn",1886,12,"Steinitz, William",24.18604651,43,"Zukertort, Johannes Hermann",38.88372093,43,63.06976744,"39","34",TRUE
"13",596,"lichess_study_1886-world-championship-steinitz-zukertor_by_Lichess_2021.11.29.pgn",1886,13,"Zukertort, Johannes Hermann",33.34117647,85,"Steinitz, William",44.65882353,85,78,"34","39",TRUE
"14",597,"lichess_study_1886-world-championship-steinitz-zukertor_by_Lichess_2021.11.29.pgn",1886,14,"Steinitz, William",12.17021277,47,"Zukertort, Johannes Hermann",10.27083333,48,22.4410461,"39","34",TRUE
"15",598,"lichess_study_1886-world-championship-steinitz-zukertor_by_Lichess_2021.11.29.pgn",1886,15,"Zukertort, Johannes Hermann",31.66666667,48,"Steinitz, William",30.10416667,48,61.77083333,"34","39",TRUE
"16",599,"lichess_study_1886-world-championship-steinitz-zukertor_by_Lichess_2021.11.29.pgn",1886,16,"Steinitz, William",20.35416667,48,"Zukertort, Johannes Hermann",38.64583333,48,59,"39","34",TRUE
"17",600,"lichess_study_1886-world-championship-steinitz-zukertor_by_Lichess_2021.11.29.pgn",1886,17,"Zukertort, Johannes Hermann",24.37254902,51,"Steinitz, William",18.92307692,52,43.29562594,"34","39",TRUE
"18",601,"lichess_study_1886-world-championship-steinitz-zukertor_by_Lichess_2021.11.29.pgn",1886,18,"Steinitz, William",18.56410256,39,"Zukertort, Johannes Hermann",40.46153846,39,59.02564103,"39","34",TRUE
"19",602,"lichess_study_1886-world-championship-steinitz-zukertor_by_Lichess_2021.11.29.pgn",1886,19,"Zukertort, Johannes Hermann",56.96428571,28,"Steinitz, William",31.13793103,29,88.10221675,"34","39",TRUE
"20",603,"lichess_study_1886-world-championship-steinitz-zukertor_by_Lichess_2021.11.29.pgn",1886,20,"Steinitz, William",16.11111111,18,"Zukertort, Johannes Hermann",64.94444444,18,81.05555556,"39","34",TRUE
"21",59,"lichess_study_1889-world-championship-steinitz-chigorin_by_Lichess_2021.11.29.pgn",1889,1,"Chigorin, Mikhail",20.96491228,57,"Steinitz, William",34.12280702,57,55.0877193,"34","10",TRUE
"22",60,"lichess_study_1889-world-championship-steinitz-chigorin_by_Lichess_2021.11.29.pgn",1889,2,"Steinitz, William",26.08108108,37,"Chigorin, Mikhail",43.02702703,37,69.10810811,"10","34",TRUE
"23",61,"lichess_study_1889-world-championship-steinitz-chigorin_by_Lichess_2021.11.29.pgn",1889,3,"Chigorin, Mikhail",22.51219512,82,"Steinitz, William",32.79268293,82,55.30487805,"34","10",TRUE
"24",62,"lichess_study_1889-world-championship-steinitz-chigorin_by_Lichess_2021.11.29.pgn",1889,4,"Steinitz, William",6.761904762,21,"Chigorin, Mikhail",42.61904762,21,49.38095238,"10","34",TRUE
"25",63,"lichess_study_1889-world-championship-steinitz-chigorin_by_Lichess_2021.11.29.pgn",1889,5,"Chigorin, Mikhail",60,25,"Steinitz, William",19.57692308,26,79.57692308,"34","10",TRUE
"26",64,"lichess_study_1889-world-championship-steinitz-chigorin_by_Lichess_2021.11.29.pgn",1889,6,"Steinitz, William",57.16666667,36,"Chigorin, Mikhail",34.02702703,37,91.19369369,"10","34",TRUE
"27",65,"lichess_study_1889-world-championship-steinitz-chigorin_by_Lichess_2021.11.29.pgn",1889,7,"Chigorin, Mikhail",33.90909091,33,"Steinitz, William",51.42424242,33,85.33333333,"34","10",TRUE
"28",66,"lichess_study_1889-world-championship-steinitz-chigorin_by_Lichess_2021.11.29.pgn",1889,8,"Steinitz, William",25.2972973,37,"Chigorin, Mikhail",40.64864865,37,65.94594595,"10","34",TRUE
"29",67,"lichess_study_1889-world-championship-steinitz-chigorin_by_Lichess_2021.11.29.pgn",1889,9,"Chigorin, Mikhail",54.85454545,55,"Steinitz, William",45.21428571,56,100.0688312,"34","10",TRUE
"30",68,"lichess_study_1889-world-championship-steinitz-chigorin_by_Lichess_2021.11.29.pgn",1889,10,"Steinitz, William",18.53846154,26,"Chigorin, Mikhail",41.80769231,26,60.34615385,"10","34",TRUE
"31",69,"lichess_study_1889-world-championship-steinitz-chigorin_by_Lichess_2021.11.29.pgn",1889,11,"Chigorin, Mikhail",26.83333333,30,"Steinitz, William",55.16666667,30,82,"34","10",TRUE
"32",70,"lichess_study_1889-world-championship-steinitz-chigorin_by_Lichess_2021.11.29.pgn",1889,12,"Steinitz, William",56.66666667,60,"Chigorin, Mikhail",69.66666667,60,126.3333333,"10","34",TRUE
"33",71,"lichess_study_1889-world-championship-steinitz-chigorin_by_Lichess_2021.11.29.pgn",1889,13,"Chigorin, Mikhail",40.82539683,63,"Steinitz, William",55.33333333,63,96.15873016,"34","10",TRUE
"34",72,"lichess_study_1889-world-championship-steinitz-chigorin_by_Lichess_2021.11.29.pgn",1889,14,"Steinitz, William",18.64705882,34,"Chigorin, Mikhail",42.20588235,34,60.85294118,"10","34",TRUE
"35",73,"lichess_study_1889-world-championship-steinitz-chigorin_by_Lichess_2021.11.29.pgn",1889,15,"Chigorin, Mikhail",114.2,35,"Steinitz, William",97.77777778,36,211.9777778,"34","10",TRUE
"36",74,"lichess_study_1889-world-championship-steinitz-chigorin_by_Lichess_2021.11.29.pgn",1889,16,"Steinitz, William",31.7254902,51,"Chigorin, Mikhail",46.43137255,51,78.15686275,"10","34",TRUE
"37",75,"lichess_study_1889-world-championship-steinitz-chigorin_by_Lichess_2021.11.29.pgn",1889,17,"Chigorin, Mikhail",34.30434783,69,"Steinitz, William",30.15714286,70,64.46149068,"34","10",TRUE
"38",842,"lichess_study_1890-world-championship-steinitz-vs-gunsberg_by_Lichess_2021.11.29.pgn",1890,1,"Steinitz, William",30.70833333,24,"Gunsberg, Isidor",27.28,25,57.98833333,"15","34",TRUE
"39",843,"lichess_study_1890-world-championship-steinitz-vs-gunsberg_by_Lichess_2021.11.29.pgn",1890,2,"Gunsberg, Isidor",35.55263158,38,"Steinitz, William",13.97435897,39,49.52699055,"34","15",TRUE
"40",844,"lichess_study_1890-world-championship-steinitz-vs-gunsberg_by_Lichess_2021.11.29.pgn",1890,3,"Steinitz, William",15.19230769,26,"Gunsberg, Isidor",15.22222222,27,30.41452991,"15","34",TRUE
"41",845,"lichess_study_1890-world-championship-steinitz-vs-gunsberg_by_Lichess_2021.11.29.pgn",1890,4,"Gunsberg, Isidor",30.75,56,"Steinitz, William",44.16071429,56,74.91071429,"34","15",TRUE
"42",846,"lichess_study_1890-world-championship-steinitz-vs-gunsberg_by_Lichess_2021.11.29.pgn",1890,5,"Steinitz, William",69.625,24,"Gunsberg, Isidor",29.84,25,99.465,"15","34",TRUE
"43",847,"lichess_study_1890-world-championship-steinitz-vs-gunsberg_by_Lichess_2021.11.29.pgn",1890,6,"Gunsberg, Isidor",66.57142857,42,"Steinitz, William",44.23255814,43,110.8039867,"34","15",TRUE
"44",848,"lichess_study_1890-world-championship-steinitz-vs-gunsberg_by_Lichess_2021.11.29.pgn",1890,7,"Steinitz, William",26.81481481,27,"Gunsberg, Isidor",60.25925926,27,87.07407407,"15","34",TRUE
"45",849,"lichess_study_1890-world-championship-steinitz-vs-gunsberg_by_Lichess_2021.11.29.pgn",1890,8,"Gunsberg, Isidor",13.62857143,35,"Steinitz, William",13.05714286,35,26.68571429,"34","15",TRUE
"46",850,"lichess_study_1890-world-championship-steinitz-vs-gunsberg_by_Lichess_2021.11.29.pgn",1890,9,"Steinitz, William",27.91139241,79,"Gunsberg, Isidor",25.82278481,79,53.73417722,"15","34",TRUE
"47",851,"lichess_study_1890-world-championship-steinitz-vs-gunsberg_by_Lichess_2021.11.29.pgn",1890,10,"Gunsberg, Isidor",40.57142857,42,"Steinitz, William",31.74418605,43,72.31561462,"34","15",TRUE
"48",852,"lichess_study_1890-world-championship-steinitz-vs-gunsberg_by_Lichess_2021.11.29.pgn",1890,11,"Steinitz, William",5.107142857,28,"Gunsberg, Isidor",7.035714286,28,12.14285714,"15","34",TRUE
"49",853,"lichess_study_1890-world-championship-steinitz-vs-gunsberg_by_Lichess_2021.11.29.pgn",1890,12,"Gunsberg, Isidor",19.2173913,23,"Steinitz, William",43.56521739,23,62.7826087,"34","15",TRUE
"50",854,"lichess_study_1890-world-championship-steinitz-vs-gunsberg_by_Lichess_2021.11.29.pgn",1890,13,"Steinitz, William",36.20512821,39,"Gunsberg, Isidor",60.71794872,39,96.92307692,"15","34",TRUE
"51",855,"lichess_study_1890-world-championship-steinitz-vs-gunsberg_by_Lichess_2021.11.29.pgn",1890,14,"Gunsberg, Isidor",36.84375,32,"Steinitz, William",29.66666667,33,66.51041667,"34","15",TRUE
"52",856,"lichess_study_1890-world-championship-steinitz-vs-gunsberg_by_Lichess_2021.11.29.pgn",1890,15,"Steinitz, William",9.105263158,38,"Gunsberg, Isidor",8.631578947,38,17.73684211,"15","34",TRUE
"53",857,"lichess_study_1890-world-championship-steinitz-vs-gunsberg_by_Lichess_2021.11.29.pgn",1890,16,"Gunsberg, Isidor",53.1,20,"Steinitz, William",82.35,20,135.45,"34","15",TRUE
"54",858,"lichess_study_1890-world-championship-steinitz-vs-gunsberg_by_Lichess_2021.11.29.pgn",1890,17,"Steinitz, William",20.96363636,55,"Gunsberg, Isidor",20.05357143,56,41.01720779,"15","34",TRUE
"55",859,"lichess_study_1890-world-championship-steinitz-vs-gunsberg_by_Lichess_2021.11.29.pgn",1890,18,"Gunsberg, Isidor",40.24528302,53,"Steinitz, William",25.98148148,54,66.2267645,"34","15",TRUE
"56",860,"lichess_study_1890-world-championship-steinitz-vs-gunsberg_by_Lichess_2021.11.29.pgn",1890,19,"Steinitz, William",10.975,40,"Gunsberg, Isidor",13.34146341,41,24.31646341,"15","34",TRUE
"57",649,"lichess_study_1892-world-championship-steinitz-chigorin-ii_by_Lichess_2021.11.29.pgn",1892,1,"Chigorin, Mikhail",38.76666667,30,"Steinitz, William",71.1,30,109.8666667,"34","10",TRUE
"58",650,"lichess_study_1892-world-championship-steinitz-chigorin-ii_by_Lichess_2021.11.29.pgn",1892,2,"Steinitz, William",45.5483871,31,"Chigorin, Mikhail",41.41935484,31,86.96774194,"10","34",TRUE
"59",651,"lichess_study_1892-world-championship-steinitz-chigorin-ii_by_Lichess_2021.11.29.pgn",1892,3,"Chigorin, Mikhail",36.29032258,31,"Steinitz, William",38.4375,32,74.72782258,"34","10",TRUE
"60",652,"lichess_study_1892-world-championship-steinitz-chigorin-ii_by_Lichess_2021.11.29.pgn",1892,4,"Steinitz, William",15.25925926,27,"Chigorin, Mikhail",50.74074074,27,66,"10","34",TRUE
"61",653,"lichess_study_1892-world-championship-steinitz-chigorin-ii_by_Lichess_2021.11.29.pgn",1892,5,"Chigorin, Mikhail",23.11111111,54,"Steinitz, William",22.96296296,54,46.07407407,"34","10",TRUE
"62",654,"lichess_study_1892-world-championship-steinitz-chigorin-ii_by_Lichess_2021.11.29.pgn",1892,6,"Steinitz, William",22.43478261,46,"Chigorin, Mikhail",41.17391304,46,63.60869565,"10","34",TRUE
"63",655,"lichess_study_1892-world-championship-steinitz-chigorin-ii_by_Lichess_2021.11.29.pgn",1892,7,"Chigorin, Mikhail",29.11111111,27,"Steinitz, William",65.11111111,27,94.22222222,"34","10",TRUE
"64",656,"lichess_study_1892-world-championship-steinitz-chigorin-ii_by_Lichess_2021.11.29.pgn",1892,8,"Steinitz, William",60.91304348,23,"Chigorin, Mikhail",17.625,24,78.53804348,"10","34",TRUE
"65",657,"lichess_study_1892-world-championship-steinitz-chigorin-ii_by_Lichess_2021.11.29.pgn",1892,9,"Chigorin, Mikhail",19.60606061,33,"Steinitz, William",15.87878788,33,35.48484848,"34","10",TRUE
"66",658,"lichess_study_1892-world-championship-steinitz-chigorin-ii_by_Lichess_2021.11.29.pgn",1892,10,"Steinitz, William",58.37931034,29,"Chigorin, Mikhail",30.9,30,89.27931034,"10","34",TRUE
"67",659,"lichess_study_1892-world-championship-steinitz-chigorin-ii_by_Lichess_2021.11.29.pgn",1892,11,"Chigorin, Mikhail",37.40909091,44,"Steinitz, William",18.62222222,45,56.03131313,"34","10",TRUE
"68",660,"lichess_study_1892-world-championship-steinitz-chigorin-ii_by_Lichess_2021.11.29.pgn",1892,12,"Steinitz, William",53.32,25,"Chigorin, Mikhail",14.96153846,26,68.28153846,"10","34",TRUE
"69",661,"lichess_study_1892-world-championship-steinitz-chigorin-ii_by_Lichess_2021.11.29.pgn",1892,13,"Chigorin, Mikhail",42.10810811,37,"Steinitz, William",19.5,38,61.60810811,"34","10",TRUE
"70",662,"lichess_study_1892-world-championship-steinitz-chigorin-ii_by_Lichess_2021.11.29.pgn",1892,14,"Steinitz, William",14.0625,32,"Chigorin, Mikhail",43.5,32,57.5625,"10","34",TRUE
"71",663,"lichess_study_1892-world-championship-steinitz-chigorin-ii_by_Lichess_2021.11.29.pgn",1892,15,"Chigorin, Mikhail",97.82608696,46,"Steinitz, William",114.5,46,212.326087,"34","10",TRUE
"72",664,"lichess_study_1892-world-championship-steinitz-chigorin-ii_by_Lichess_2021.11.29.pgn",1892,16,"Steinitz, William",15,37,"Chigorin, Mikhail",29.32432432,37,44.32432432,"10","34",TRUE
"73",665,"lichess_study_1892-world-championship-steinitz-chigorin-ii_by_Lichess_2021.11.29.pgn",1892,17,"Chigorin, Mikhail",47.52631579,38,"Steinitz, William",66.18421053,38,113.7105263,"34","10",TRUE
"74",666,"lichess_study_1892-world-championship-steinitz-chigorin-ii_by_Lichess_2021.11.29.pgn",1892,18,"Steinitz, William",17.05263158,38,"Chigorin, Mikhail",38.18421053,38,55.23684211,"10","34",TRUE
"75",667,"lichess_study_1892-world-championship-steinitz-chigorin-ii_by_Lichess_2021.11.29.pgn",1892,19,"Chigorin, Mikhail",68.80645161,31,"Steinitz, William",98.32258065,31,167.1290323,"34","10",TRUE
"76",668,"lichess_study_1892-world-championship-steinitz-chigorin-ii_by_Lichess_2021.11.29.pgn",1892,20,"Steinitz, William",26.45,40,"Chigorin, Mikhail",37.1,40,63.55,"10","34",TRUE
"77",669,"lichess_study_1892-world-championship-steinitz-chigorin-ii_by_Lichess_2021.11.29.pgn",1892,21,"Chigorin, Mikhail",43.39130435,46,"Steinitz, William",38.65217391,46,82.04347826,"34","10",TRUE
"78",670,"lichess_study_1892-world-championship-steinitz-chigorin-ii_by_Lichess_2021.11.29.pgn",1892,22,"Steinitz, William",26.5,48,"Chigorin, Mikhail",41.25,48,67.75,"10","34",TRUE
"79",671,"lichess_study_1892-world-championship-steinitz-chigorin-ii_by_Lichess_2021.11.29.pgn",1892,23,"Chigorin, Mikhail",71.22580645,31,"Steinitz, William",36.96875,32,108.1945565,"34","10",TRUE
"80",420,"lichess_study_1894-chess-world-championship-steinitz-lasker_by_Lichess_2021.11.29.pgn",1894,1,"Lasker, Emanuel",22.74576271,59,"Steinitz, William",33.15254237,59,55.89830508,"34","23",TRUE
"81",421,"lichess_study_1894-chess-world-championship-steinitz-lasker_by_Lichess_2021.11.29.pgn",1894,2,"Steinitz, William",25.85365854,41,"Lasker, Emanuel",42.58536585,41,68.43902439,"23","34",TRUE
"82",422,"lichess_study_1894-chess-world-championship-steinitz-lasker_by_Lichess_2021.11.29.pgn",1894,3,"Lasker, Emanuel",43.21568627,51,"Steinitz, William",48.35294118,51,91.56862745,"34","23",TRUE
"83",423,"lichess_study_1894-chess-world-championship-steinitz-lasker_by_Lichess_2021.11.29.pgn",1894,4,"Steinitz, William",58.42372881,59,"Lasker, Emanuel",64.54237288,59,122.9661017,"23","34",TRUE
"84",424,"lichess_study_1894-chess-world-championship-steinitz-lasker_by_Lichess_2021.11.29.pgn",1894,5,"Lasker, Emanuel",30.12244898,49,"Steinitz, William",26.12244898,49,56.24489796,"34","23",TRUE
